Id,Name,"Parent Id","Group Name","Owner Id","Tax code","Account Id",account_number,"Payment term Label","Internal rating Id"
3584,"Kardwell International",,,1,,3255,239077,,
3585,"Kaye Smith",,,1,,3256,239444,,
3586,"KB Graphics, Inc. ",,,1,,3257,238160,,
3587,"K&B Solutions ",,,1,,3258,35382,,
3588,"K.C. ADVERTISING SPEC.",,,1,,3259,238196,,
3589,"KC Promotional",,,1,,3260,33437,,
3590,"KELLEY ADVERTISING CO.",,,1,,3261,240430,,
3591,"KELLEY PROMOTIONS ",,,1,,3262,240696,,
3592,"Keltner Group LLC",,,1,,3263,240725,,
3593,"Kevins Worldwide",,,1,,3264,241850,,
3594,"Keystone Advertising  Spec",,,1,,3265,242433,,
3595,"Keystone Specialties Inc.",,,1,,3266,242353,,
3596,"KMK Distributing, LLC",,,1,,3267,238384,,
3597,"Knock-Out Specialities, Inc.",,,1,,3268,244185,,
3598,"Koala Tee Inc.",,,1,,3269,244435,,
3599,"Kramas ",,,1,,3270,29060,,
3600,"KS Image Solutions, LLC",,,1,,3271,238482,,
3601,"Lacy Brown Specialty",,,1,,3272,35937,,
3602,"LAMONT BRANDS INC",,,1,,3273,228435,,
3603,"Leader Marketing Solutions",,,1,,3274,31498,,
3604,LeaderPromos.com,,,1,,3275,287087,,
3605,"Leading Edge Printing",,,1,,3276,250425,,
3606,"Leap 'n Logos Promo Products",,,1,,3277,29140,,
3607,"Lighthouse Branding & Merch",,,1,,3278,254137,,
3608,"Little Mountain Printing",,,1,,3279,254862,,
3609,"LMK Industries LLC",,,1,,3280,254907,,
3610,"Logo America- now GJC Marketing ",,,1,,3281,30743,,
3611,"LogoBranders, Inc.",,,1,,3282,27234,,
3612,"Logo Depot/ industrial uniform",,,1,,3283,230903,,
3613,"Logo HQ Promotional Product",,,1,,3284,199674,,
3614,"Logo Magic, Inc.",,,1,,3285,37798,,
3615,Logomotion,,,1,,3286,255269,,
3616,"Logonet USA, Inc.",,,1,,3287,31981,,
3617,"Logo Print and Promo-Proforma",,,1,,3288,255247,,
3618,"Logos N Sports",,,1,,3289,255336,,
3619,"LogoStoreUSA, Inc.",,,1,,3290,181390,,
3620,Logostuff.com,,,1,,3291,299697,,
3621,LOGOSURFING.COM,,,1,,3292,246818,,
3622,Logowise,,,1,,3293,36635,,
3623,"Londe Promotions",,,1,,3294,255712,,
3624,"LONESTAR PROMO PRODUCTS ",,,1,,3295,36533,,
3625,LUFA,,,1,,3296,29023,,
3626,"M2 MARKETING & PROMOTIONS",,,1,,3297,25618,,
3627,"Macco Promotions Inc.",,,1,,3298,258400,,
3628,"MacKellar Associates ",,,1,,3299,258917,,
3629,"Mac Mannes Inc.",,,1,,3300,259100,,
3630,"Madden Branded Goods",,,1,,3301,259280,,
3631,"Made to Order",,,1,,3302,259540,,
3632,"Mal-Ad Promotions",,,1,,3303,260010,,
3633,"MARCO MRKTING SOLUTIONS",,,1,,3304,260870,,
3634,"Market USA",,,1,,3305,261599,,
3635,"Marybridget Enterprise, Inc.",,,1,,3306,23956,,
3636,"Mascom Communications",,,1,,3307,269625,,
3637,"MASTERCRAFT ",,,1,,3308,264139,,
3638,"Match Up-Promotions",,,1,,3309,264230,,
3639,"MAVICH BRANDING GROUP",,,1,,3310,35133,,
3640,"MAXX PROMOTIONS",,,1,,3311,30618,,
3641,"MCM Group, Inc.",,,1,,3312,270825,,
3642,"Merrill Communications, LLC",,,1,,3313,268585,,
3643,"Metro Design",,,1,,3314,268918,,
3644,"Midlands Printing & Business",,,1,,3315,36647,,
3645,"Millennium Mktg Solutions",,,1,,3316,271245,,
3646,"MOISANT PROMOTIONAL PRODUCT",,,1,,3317,275276,,
3647,"Mo'Money Associates",,,1,,3318,275350,,
3648,"Monarch Sales Co., Inc.",,,1,,3319,275500,,
3649,"Monarch Sales CO., Inc.",,,1,,3320,275500,,
3650,"Montgomery Promotions LLC",,,1,,3321,275845,,
3651,"MPC Promotions LLC",,,1,,3322,258113,,
3652,"MPG Promotions, LLC",,,1,,3323,258120,,
3653,"MPG Tandem",,,1,,3324,32023,,
3654,MPS,,,1,,3325,258114,,
3655,"MRL Promotions",,,1,,3326,258137,,
3656,"MRP Lawrence Marketing Inc.",,,1,,3327,258142,,
3657,"MSP Design Group",,,1,,3328,515806,,
3658,"Mugs and More",,,1,,3329,277961,,
3659,"Multi Media Promotions",,,1,,3330,27935,,
3660,"MyBrandPromo, Inc.",,,1,,3331,257837,,
3661,"Myron ",,,1,,3332,278980,,
3662,Name,,,1,,3333,account_number,,
3663,"National Bank Products",,,1,,3334,280420,,
3664,"National Design",,,1,,3335,35430,,
